max_slots,per_token_cap,per_slot_fraction,start_ts,n_eligible,n_taken,n_realized,n_skipped_slots,n_skipped_token_cap,initial_capital,final_equity,total_return_pct,cagr_pct,max_dd_pct,monthly_sharpe,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,btc_filter
2,1,0.5,all,399,5,3,394,0,10000.0,10444.4,4.44,3.37,-4.47,-0.87,0.75,33.3,18.67,-4.73,OFF
4,1,0.25,all,399,14,10,383,2,10000.0,11042.13,10.42,7.85,-4.65,0.76,1.69,30.0,23.71,-4.2,OFF
6,1,0.16666666666666666,all,399,20,14,370,9,10000.0,10391.92,3.92,2.97,-4.99,0.55,0.6,21.4,23.71,-4.26,OFF
8,1,0.125,all,399,24,16,364,11,10000.0,10498.26,4.98,3.77,-4.1,0.7,0.92,25.0,22.5,-4.13,OFF
10,1,0.1,all,399,31,21,344,24,10000.0,10410.33,4.1,3.11,-3.88,0.61,0.8,28.6,16.76,-3.93,OFF
12,1,0.08333333333333333,all,399,33,21,338,28,10000.0,10342.69,3.43,2.6,-3.24,0.61,0.8,28.6,16.76,-3.93,OFF
15,1,0.06666666666666667,all,399,36,21,329,34,10000.0,10277.04,2.77,2.1,-2.6,0.61,0.81,28.6,16.76,-3.91,OFF
20,1,0.05,all,399,42,25,0,357,10000.0,10249.79,2.5,1.9,-1.96,0.74,0.97,36.0,12.37,-3.83,OFF
2,1,0.5,all,157,9,7,147,1,10000.0,10089.11,0.89,2.3,-3.36,1.31,0.69,28.6,9.32,-3.22,ON
4,1,0.25,all,157,15,11,140,2,10000.0,10452.8,4.53,12.04,-1.37,2.51,8.78,45.5,7.75,-3.43,ON
6,1,0.16666666666666666,all,157,23,17,128,6,10000.0,10431.07,4.31,11.44,-2.15,2.36,5.33,41.2,8.27,-3.22,ON
8,1,0.125,all,157,30,22,120,7,10000.0,10082.39,0.82,2.13,-3.02,2.45,0.7,31.8,8.27,-3.41,ON
10,1,0.1,all,157,35,25,115,7,10000.0,10039.66,0.4,1.02,-2.95,2.52,0.35,32.0,7.59,-3.33,ON
12,1,0.08333333333333333,all,157,39,27,111,7,10000.0,9977.37,-0.23,-0.58,-3.01,1.99,-0.19,29.6,7.59,-3.32,ON
15,1,0.06666666666666667,all,157,57,43,47,53,10000.0,10322.18,3.22,8.48,-3.09,1.99,2.74,37.2,8.57,-3.29,ON
20,1,0.05,all,157,57,41,0,100,10000.0,10117.1,1.17,3.03,-2.33,1.13,1.3,36.6,7.24,-3.26,ON
